OCC_CODE,Commodity Title,Example
17-2031,Office suite software,Microsoft Office software
17-2031,Operating system software,UNIX
17-2031,Presentation software,Microsoft PowerPoint
17-2031,Process mapping and design software,Microsoft Visio
17-2031,Project management software,Microsoft Project
17-2031,Spreadsheet software,Microsoft Excel
17-2031,Web platform development software,JavaScript
17-2031,Word processing software,Microsoft Word
17-2041,Analytical or scientific software,The MathWorks MATLAB
17-2041,Computer aided design CAD software,Dassault Systemes SolidWorks
17-2041,Data base user interface and query software,Structured query language SQL
17-2041,Development environment software,Microsoft Visual Basic
17-2041,Enterprise resource planning ERP software,SAP software
17-2041,Object or component oriented development software,R
17-2041,Office suite software,Microsoft Office software
17-2041,Presentation software,Microsoft PowerPoint
17-2041,Process mapping and design software,Microsoft Visio
17-2041,Project management software,Microsoft Project
17-2041,Spreadsheet software,Microsoft Excel
17-2041,Word processing software,Microsoft Word
17-2051,Analytical or scientific software,The MathWorks MATLAB
17-2051,Computer aided design CAD software,OpenRoads Designer
17-2051,Data base user interface and query software,Structured query language SQL
17-2051,Development environment software,Microsoft Visual Basic
17-2051,Document management software,Adobe Acrobat
17-2051,Electronic mail software,Microsoft Outlook
17-2051,Enterprise application integration software,Extensible markup language XML
17-2051,Enterprise resource planning ERP software,SAP software
17-2051,File versioning software,Apache Subversion SVN
17-2051,Geographic information system,Geographic information system GIS systems
17-2051,Graphics or photo imaging software,Trimble SketchUp Pro
17-2051,Object or component oriented development software,Python
17-2051,Office suite software,Microsoft Office software
17-2051,Operating system software,Shell script
17-2051,Presentation software,Microsoft PowerPoint
17-2051,Project management software,Oracle Primavera Enterprise Project Portfolio Management
17-2051,Spreadsheet software,Microsoft Excel
17-2051,Word processing software,Microsoft Word
17-2061,Analytical or scientific software,Very high speed integrated circuit VHSIC hardware description language VHDL simulation software
17-2061,Computer aided design CAD software,Autodesk AutoCAD
17-2061,Data base user interface and query software,Structured query language SQL
17-2061,Development environment software,Verilog
17-2061,File versioning software,Apache Subversion SVN
17-2061,Object or component oriented development software,Python
17-2061,Office suite software,Microsoft Office software
17-2061,Operating system software,UNIX
17-2061,Presentation software,Microsoft PowerPoint
17-2061,Process mapping and design software,Microsoft Visio
17-2061,Spreadsheet software,Microsoft Excel
17-2071,Analytical or scientific software,The MathWorks MATLAB
17-2071,Computer aided design CAD software,Dassault Systemes SolidWorks
17-2071,Data base user interface and query software,Microsoft SQL Server
17-2071,Development environment software,Microsoft Visual Studio
17-2071,Enterprise resource planning ERP software,SAP software
17-2071,File versioning software,Apache Subversion SVN
17-2071,Geographic information system,ETAP
17-2071,Object or component oriented development software,Python
17-2071,Office suite software,Microsoft Office software
17-2071,Operating system software,UNIX
17-2071,Presentation software,Microsoft PowerPoint
17-2071,Process mapping and design software,Microsoft Visio
17-2071,Project management software,Oracle Primavera Enterprise Project Portfolio Management
17-2071,Spreadsheet software,Microsoft Excel
17-2071,Word processing software,Microsoft Word
17-2072,Analytical or scientific software,The MathWorks MATLAB
17-2072,Computer aided design CAD software,Dassault Systemes SolidWorks
17-2072,Data base user interface and query software,Structured query language SQL
17-2072,Development environment software,Ruby
17-2072,Enterprise application integration software,Extensible markup language XML
17-2072,Enterprise resource planning ERP software,SAP software
17-2072,File versioning software,Apache Subversion SVN
17-2072,Geographic information system,ESRI ArcGIS software
17-2072,Graphics or photo imaging software,Trimble SketchUp Pro
17-2072,Network monitoring software,Forsk Atoll
17-2072,Object or component oriented development software,Python
17-2072,Office suite software,Microsoft Office software
17-2072,Operating system software,UNIX
17-2072,Presentation software,Microsoft PowerPoint
17-2072,Process mapping and design software,Microsoft Visio
17-2072,Program testing software,Selenium
17-2072,Project management software,Microsoft Project
17-2072,Spreadsheet software,Microsoft Excel
17-2072,Word processing software,Microsoft Word
17-2081,Analytical or scientific software,The MathWorks MATLAB
17-2081,Computer aided design CAD software,Bentley MicroStation
17-2081,Data base user interface and query software,Microsoft Access
17-2081,Geographic information system,ESRI ArcGIS software
17-2081,Object or component oriented development software,Python
17-2081,Office suite software,Microsoft Office software
17-2081,Presentation software,Microsoft PowerPoint
17-2081,Project management software,Microsoft Project
17-2081,Spreadsheet software,Microsoft Excel
17-2081,Word processing software,Microsoft Word
17-2111,Analytical or scientific software,The MathWorks MATLAB
17-2111,Computer aided design CAD software,Mechanical electrical plumbing MEP design software
17-2111,Data base user interface and query software,Microsoft Access
17-2111,Development environment software,Microsoft Visual Basic
17-2111,Electronic mail software,Microsoft Outlook
17-2111,Enterprise resource planning ERP software,SAP software
17-2111,Graphics or photo imaging software,Microsoft Visio
17-2111,Object or component oriented development software,Python
17-2111,Office suite software,Microsoft Office software
17-2111,Operating system software,Microsoft Windows
17-2111,Presentation software,Microsoft PowerPoint
17-2111,Process mapping and design software,Microsoft Visio
17-2111,Project management software,Microsoft SharePoint
17-2111,Spreadsheet software,Microsoft Excel
17-2111,Web platform development software,Microsoft Active Server Pages ASP
17-2111,Word processing software,Microsoft Word
17-2112,Analytical or scientific software,The MathWorks MATLAB
17-2112,Application server software,Kubernetes
17-2112,Cloud-based data access and sharing software,Microsoft SharePoint
17-2112,Cloud-based management software,Splunk Enterprise
17-2112,Computer aided design CAD software,Dassault Systemes SolidWorks
17-2112,Configuration management software,Puppet
17-2112,Content workflow software,Atlassian JIRA
17-2112,Data base management system software,Teradata Database
17-2112,Data base user interface and query software,Structured query language SQL
17-2112,Desktop publishing software,Adobe InDesign
17-2112,Development environment software,Ruby
17-2112,Document management software,Adobe Acrobat
17-2112,Electronic mail software,Microsoft Outlook
17-2112,Enterprise application integration software,Jenkins CI
17-2112,Enterprise resource planning ERP software,SAP software
17-2112,Expert system software,Ansible software
17-2112,File versioning software,Git
17-2112,Graphics or photo imaging software,Adobe Photoshop
17-2112,Object or component oriented development software,jQuery
17-2112,Object oriented data base management software,PostgreSQL
17-2112,Office suite software,Microsoft Office software
17-2112,Operating system software,UNIX Shell
17-2112,Presentation software,Microsoft PowerPoint
17-2112,Process mapping and design software,Microsoft Visio
17-2112,Program testing software,Selenium
17-2112,Project management software,Microsoft Project
17-2112,Spreadsheet software,Microsoft Excel
17-2112,Web platform development software,Ruby on Rails
17-2112,Word processing software,Microsoft Word
17-2121,Analytical or scientific software,The MathWorks MATLAB
17-2121,Computer aided design CAD software,Dassault Systemes SolidWorks
17-2121,Data base user interface and query software,Microsoft Access
17-2121,Document management software,Adobe Acrobat
17-2121,Electronic mail software,Microsoft Outlook
17-2121,Enterprise resource planning ERP software,SAP software
17-2121,Graphics or photo imaging software,McNeel Rhinoceros 3D
17-2121,Office suite software,Microsoft Office software
17-2121,Presentation software,Microsoft PowerPoint
17-2121,Project management software,Microsoft Project
17-2121,Spreadsheet software,Microsoft Excel
17-2121,Video conferencing software,Zoom
17-2121,Word processing software,Microsoft Word
17-2131,Analytical or scientific software,The MathWorks MATLAB
17-2131,Cloud-based data access and sharing software,Microsoft SharePoint
17-2131,Computer aided design CAD software,Dassault Systemes SolidWorks
17-2131,Data base user interface and query software,Oracle Database
17-2131,Development environment software,Microsoft Visual Basic
17-2131,Electronic mail software,Microsoft Outlook
17-2131,Enterprise resource planning ERP software,SAP software
17-2131,Object or component oriented development software,Python
17-2131,Office suite software,Microsoft Office software
17-2131,Presentation software,Microsoft PowerPoint
17-2131,Process mapping and design software,Microsoft Visio
17-2131,Spreadsheet software,Microsoft Excel
17-2131,Word processing software,Microsoft Word
17-2141,Analytical or scientific software,The MathWorks MATLAB
17-2141,Cloud-based data access and sharing software,Microsoft SharePoint
17-2141,Computer aided design CAD software,PTC Creo Parametric
17-2141,Configuration management software,Puppet
17-2141,Customer relationship management CRM software,Salesforce software
17-2141,Data base management system software,Teradata Database
17-2141,Data base user interface and query software,Structured query language SQL
17-2141,Development environment software,SystemVerilog
17-2141,Electronic mail software,Microsoft Outlook
17-2141,Enterprise application integration software,Jenkins CI
17-2141,Enterprise resource planning ERP software,SAP software
17-2141,File versioning software,Git
17-2141,Geographic information system,ESRI ArcGIS software
17-2141,Graphics or photo imaging software,Trimble SketchUp Pro
17-2141,Object or component oriented development software,Swift
17-2141,Office suite software,Microsoft Office software
17-2141,Operating system software,UNIX
17-2141,Presentation software,Microsoft PowerPoint
17-2141,Process mapping and design software,Microsoft Visio
17-2141,Program testing software,Selenium
17-2141,Project management software,Oracle Primavera Enterprise Project Portfolio Management
17-2141,Spreadsheet software,Microsoft Excel
17-2141,Web platform development software,Node.js
17-2141,Word processing software,Microsoft Word
17-2151,Cloud-based data access and sharing software,Microsoft SharePoint
17-2151,Computer aided design CAD software,Autodesk AutoCAD Civil 3D
17-2151,Data base user interface and query software,Oracle Database
17-2151,Electronic mail software,Microsoft Outlook
17-2151,Enterprise resource planning ERP software,SAP software
17-2151,Office suite software,Microsoft Office software
17-2151,Operating system software,Microsoft Windows
17-2151,Presentation software,Microsoft PowerPoint
17-2151,Project management software,Microsoft Project
17-2151,Spreadsheet software,Microsoft Excel
17-2151,Word processing software,Microsoft Word
17-2161,Analytical or scientific software,The MathWorks MATLAB
17-2161,Customer relationship management CRM software,Salesforce software
17-2161,Data base user interface and query software,Microsoft Access
17-2161,Enterprise resource planning ERP software,SAP software
17-2161,Object or component oriented development software,Python
17-2161,Office suite software,Microsoft Office software
17-2161,Operating system software,UNIX
17-2161,Presentation software,Microsoft PowerPoint
17-2161,Spreadsheet software,Microsoft Excel
17-2161,Word processing software,Microsoft Word
17-2171,Analytical or scientific software,The MathWorks MATLAB
17-2171,Computer aided design CAD software,Autodesk AutoCAD
17-2171,Data base user interface and query software,Oracle Database
17-2171,Development environment software,Microsoft Visual Studio
17-2171,Electronic mail software,Microsoft Outlook
17-2171,Enterprise resource planning ERP software,SAP software
17-2171,Object or component oriented development software,R
17-2171,Office suite software,Microsoft Office software
17-2171,Operating system software,Linux
17-2171,Presentation software,Microsoft PowerPoint
17-2171,Process mapping and design software,Microsoft Visio
17-2171,Project management software,Microsoft Project
17-2171,Spreadsheet software,Microsoft Excel
17-2171,Word processing software,Microsoft Word
17-2199,Analytical or scientific software,Vector Canape
17-2199,Business intelligence and data analysis software,Tableau
17-2199,Computer aided design CAD software,Zemax
17-2199,Content workflow software,Atlassian JIRA
17-2199,Customer relationship management CRM software,Salesforce software
17-2199,Data base management system software,Microsoft SQL Server
17-2199,Data base user interface and query software,Structured query language SQL
17-2199,Development environment software,National Instruments LabVIEW
17-2199,Document management software,dSPACE
17-2199,Electronic mail software,Microsoft Outlook
17-2199,Enterprise application integration software,Extensible markup language XML
17-2199,Enterprise resource planning ERP software,SAP software
17-2199,File versioning software,Git
17-2199,Geographic information system,ETAP
17-2199,Graphics or photo imaging software,Adobe Photoshop
17-2199,Internet browser software,Web browser software
17-2199,Object or component oriented development software,R
17-2199,Office suite software,Microsoft Office software
17-2199,Operating system software,UNIX
17-2199,Presentation software,Microsoft PowerPoint
17-2199,Process mapping and design software,Microsoft Visio
17-2199,Program testing software,JUnit
17-2199,Project management software,Microsoft Project
17-2199,Spreadsheet software,Microsoft Excel
17-2199,Web page creation and editing software,Facebook
17-2199,Web platform development software,JavaScript
17-2199,Word processing software,Microsoft Word
17-3011,Computer aided design CAD software,Trimble SketchUp Pro
17-3011,Data base user interface and query software,Microsoft Access
17-3011,Desktop publishing software,Adobe InDesign
17-3011,Development environment software,Microsoft .NET Framework
17-3011,Document management software,Adobe Acrobat
17-3011,Electronic mail software,Microsoft Outlook
17-3011,Enterprise application integration software,Extensible markup language XML
17-3011,Enterprise resource planning ERP software,SAP software
17-3011,Geographic information system,ESRI ArcGIS software
17-3011,Graphics or photo imaging software,Adobe Photoshop
17-3011,Office suite software,Microsoft Office software
17-3011,Operating system software,Microsoft Windows
17-3011,Presentation software,Microsoft PowerPoint
17-3011,Process mapping and design software,Microsoft Visio
17-3011,Project management software,Microsoft Project
17-3011,Spreadsheet software,Microsoft Excel
17-3011,Word processing software,Microsoft Word
17-3012,Analytical or scientific software,The MathWorks MATLAB
17-3012,Computer aided design CAD software,NavisWorks Jetstream
17-3012,Data base user interface and query software,Microsoft Access
17-3012,Development environment software,C
17-3012,Electronic mail software,Microsoft Outlook
17-3012,Enterprise resource planning ERP software,SAP software
17-3012,Graphics or photo imaging software,Adobe Illustrator
17-3012,Object or component oriented development software,Python
17-3012,Office suite software,Microsoft Office software
17-3012,Operating system software,UNIX
17-3012,Presentation software,Microsoft PowerPoint
17-3012,Process mapping and design software,Microsoft Visio
17-3012,Project management software,Microsoft SharePoint
17-3012,Spreadsheet software,Microsoft Excel
17-3012,Word processing software,Microsoft Word
17-3013,Computer aided design CAD software,PTC Creo Parametric
17-3013,Data base user interface and query software,Microsoft Access
17-3013,Electronic mail software,Microsoft Outlook
17-3013,Enterprise application integration software,Extensible markup language XML
17-3013,Enterprise resource planning ERP software,SAP software
17-3013,Geographic information system,ESRI ArcGIS software
17-3013,Graphics or photo imaging software,Trimble SketchUp Pro
17-3013,Office suite software,Microsoft Office software
17-3013,Presentation software,Microsoft PowerPoint
17-3013,Project management software,Microsoft Project
17-3013,Spreadsheet software,Microsoft Excel
17-3013,Word processing software,Microsoft Word
17-3021,Cloud-based data access and sharing software,Microsoft SharePoint
17-3021,Computer aided design CAD software,Dassault Systemes SolidWorks
17-3021,Data base management system software,Apache Hadoop
17-3021,Data base user interface and query software,Structured query language SQL
17-3021,Electronic mail software,Microsoft Outlook
17-3021,Enterprise application integration software,Extensible markup language XML
17-3021,Enterprise resource planning ERP software,SAP software
17-3021,Object or component oriented development software,Python
17-3021,Office suite software,Microsoft Office software
17-3021,Operating system software,UNIX
17-3021,Presentation software,Microsoft PowerPoint
17-3021,Process mapping and design software,Microsoft Visio
17-3021,Program testing software,Selenium
17-3021,Project management software,Microsoft Project
17-3021,Spreadsheet software,Microsoft Excel
17-3021,Web platform development software,JavaScript
17-3021,Word processing software,Microsoft Word
17-3022,Computer aided design CAD software,Bentley MicroStation
17-3022,Development environment software,Microsoft Visual Basic
17-3022,Electronic mail software,Microsoft Outlook
17-3022,Enterprise resource planning ERP software,SAP software
17-3022,Geographic information system,Geographic information system GIS systems
17-3022,Office suite software,Microsoft Office software
17-3022,Presentation software,Microsoft PowerPoint
17-3022,Spreadsheet software,Microsoft Excel
17-3022,Word processing software,Microsoft Word
17-3023,Analytical or scientific software,The MathWorks MATLAB
17-3023,Computer aided design CAD software,Dassault Systemes SolidWorks
17-3023,Data base user interface and query software,Oracle Database
17-3023,Development environment software,Microsoft Visual Basic
17-3023,Document management software,Adobe Acrobat
17-3023,Electronic mail software,Microsoft Outlook
17-3023,Enterprise resource planning ERP software,SAP software
17-3023,Object or component oriented development software,Python
17-3023,Office suite software,Microsoft Office software
17-3023,Operating system software,UNIX
17-3023,Presentation software,Microsoft PowerPoint
17-3023,Project management software,Microsoft Project
17-3023,Spreadsheet software,Microsoft Excel
17-3023,Web platform development software,JavaScript
17-3023,Word processing software,Microsoft Word
17-3024,Analytical or scientific software,The MathWorks MATLAB
17-3024,Computer aided design CAD software,Dassault Systemes SolidWorks
17-3024,Data base user interface and query software,Structured query language SQL
17-3024,Development environment software,C
17-3024,Electronic mail software,Microsoft Outlook
17-3024,Enterprise resource planning ERP software,SAP software
17-3024,File versioning software,Git
17-3024,Object or component oriented development software,Python
17-3024,Office suite software,Microsoft Office software
17-3024,Operating system software,UNIX
17-3024,Presentation software,Microsoft PowerPoint
17-3024,Project management software,Microsoft Project
17-3024,Spreadsheet software,Microsoft Excel
17-3024,Web platform development software,JavaScript
17-3024,Word processing software,Microsoft Word
17-3025,Analytical or scientific software,The MathWorks MATLAB
17-3025,Computer aided design CAD software,Bentley MicroStation
17-3025,Data base user interface and query software,Microsoft Access
17-3025,Electronic mail software,Microsoft Outlook
17-3025,Geographic information system,ESRI ArcGIS software
17-3025,Object or component oriented development software,Python
17-3025,Office suite software,Microsoft Office software
17-3025,Presentation software,Microsoft PowerPoint
17-3025,Spreadsheet software,Microsoft Excel
17-3025,Word processing software,Microsoft Word
17-3026,Analytical or scientific software,The MathWorks MATLAB
17-3026,Cloud-based data access and sharing software,Microsoft SharePoint
17-3026,Computer aided design CAD software,Dassault Systemes SolidWorks
17-3026,Data base user interface and query software,Microsoft Access
17-3026,Development environment software,Microsoft Visual Studio
17-3026,Electronic mail software,Microsoft Outlook
17-3026,Enterprise application integration software,Extensible markup language XML
17-3026,Enterprise resource planning ERP software,SAP software
17-3026,Object or component oriented development software,C++
17-3026,Office suite software,Microsoft Office software
17-3026,Operating system software,UNIX
17-3026,Presentation software,Microsoft PowerPoint
17-3026,Process mapping and design software,Microsoft Visio
17-3026,Project management software,Microsoft Project
17-3026,Spreadsheet software,Microsoft Excel
17-3026,Word processing software,Microsoft Word
17-3027,Analytical or scientific software,The MathWorks MATLAB
17-3027,Cloud-based data access and sharing software,Microsoft SharePoint
17-3027,Computer aided design CAD software,Dassault Systemes SolidWorks
17-3027,Data base user interface and query software,Microsoft Access
17-3027,Development environment software,Microsoft Visual Basic
17-3027,Electronic mail software,Microsoft Outlook
17-3027,Enterprise resource planning ERP software,SAP software
17-3027,Object or component oriented development software,C++
17-3027,Office suite software,Microsoft Office software
17-3027,Presentation software,Microsoft PowerPoint
17-3027,Project management software,Microsoft Project
17-3027,Spreadsheet software,Microsoft Excel
17-3027,Word processing software,Microsoft Word
17-3028,Analytical or scientific software,The MathWorks MATLAB
17-3028,Computer aided design CAD software,Dassault Systemes SolidWorks
17-3028,Electronic mail software,Microsoft Outlook
17-3028,Office suite software,Microsoft Office software
17-3028,Operating system software,Linux
17-3028,Presentation software,Microsoft PowerPoint
17-3028,Project management software,Microsoft Project
17-3028,Spreadsheet software,Microsoft Excel
17-3028,Word processing software,Microsoft Word
17-3029,Analytical or scientific software,The MathWorks MATLAB
17-3029,Computer aided design CAD software,Dassault Systemes SolidWorks
17-3029,Data base user interface and query software,Microsoft Access
17-3029,Electronic mail software,Microsoft Outlook
17-3029,Enterprise resource planning ERP software,SAP software
17-3029,Office suite software,Microsoft Office software
17-3029,Presentation software,Microsoft PowerPoint
17-3029,Project management software,Microsoft Project
17-3029,Spreadsheet software,Microsoft Excel
17-3029,Web page creation and editing software,Facebook
17-3029,Word processing software,Microsoft Word
17-3031,Cloud-based data access and sharing software,Microsoft SharePoint
17-3031,Computer aided design CAD software,Bentley MicroStation
17-3031,Data base user interface and query software,Structured query language SQL
17-3031,Development environment software,Microsoft Visual Basic for Applications VBA
17-3031,Electronic mail software,Microsoft Outlook
17-3031,Geographic information system,Geographic information system GIS systems
17-3031,Graphics or photo imaging software,Adobe Photoshop
17-3031,Object or component oriented development software,Python
17-3031,Office suite software,Microsoft Office software
17-3031,Presentation software,Microsoft PowerPoint
17-3031,Process mapping and design software,Microsoft Visio
17-3031,Spreadsheet software,Microsoft Excel
17-3031,Web platform development software,JavaScript
17-3031,Word processing software,Microsoft Word
19-1011,Analytical or scientific software,SAS
19-1011,Business intelligence and data analysis software,Tableau
19-1011,Computer aided design CAD software,Autodesk AutoCAD
19-1011,Data base user interface and query software,Structured query language SQL
19-1011,Enterprise resource planning ERP software,Oracle PeopleSoft
19-1011,Geographic information system,ESRI ArcGIS software
19-1011,Office suite software,Microsoft Office software
19-1011,Presentation software,Microsoft PowerPoint
19-1011,Spreadsheet software,Microsoft Excel
19-1011,Word processing software,Microsoft Word
19-1012,Business intelligence and data analysis software,Tableau
19-1012,Data base user interface and query software,Structured query language SQL
19-1012,Electronic mail software,Microsoft Outlook
19-1012,Enterprise resource planning ERP software,SAP software
19-1012,Object or component oriented development software,R
19-1012,Office suite software,Microsoft Office software
19-1012,Presentation software,Microsoft PowerPoint
19-1012,Sales and marketing software,Marketo Marketing Automation
19-1012,Spreadsheet software,Microsoft Excel
19-1012,Web platform development software,Hypertext markup language HTML
19-1012,Word processing software,Microsoft Word
19-1013,Analytical or scientific software,SAS
19-1013,Computer aided design CAD software,Autodesk AutoCAD
19-1013,Data base user interface and query software,Microsoft Access
19-1013,Geographic information system,Geographic information system GIS systems
19-1013,Object or component oriented development software,R
19-1013,Office suite software,Microsoft Office software
19-1013,Presentation software,Microsoft PowerPoint
19-1013,Spreadsheet software,Microsoft Excel
19-1013,Web platform development software,Microsoft Active Server Pages ASP
19-1013,Word processing software,Microsoft Word
19-1021,Analytical or scientific software,The MathWorks MATLAB
19-1021,Electronic mail software,Microsoft Outlook
19-1021,Enterprise application integration software,Extensible markup language XML
19-1021,Enterprise resource planning ERP software,SAP software
19-1021,Graphics or photo imaging software,Adobe Photoshop
19-1021,Object or component oriented development software,Python
19-1021,Office suite software,Microsoft Office software
19-1021,Operating system software,Linux
19-1021,Presentation software,Microsoft PowerPoint
19-1021,Process mapping and design software,Microsoft Visio
19-1021,Spreadsheet software,Microsoft Excel
19-1021,Word processing software,Microsoft Word
19-1022,Data base user interface and query software,Microsoft Access
19-1022,Electronic mail software,Microsoft Outlook
19-1022,Enterprise resource planning ERP software,SAP software
19-1022,Office suite software,Microsoft Office software
19-1022,Operating system software,Microsoft Windows
19-1022,Presentation software,Microsoft PowerPoint
19-1022,Spreadsheet software,Microsoft Excel
19-1022,Word processing software,Microsoft Word
19-1023,Analytical or scientific software,SAS
19-1023,Data base user interface and query software,Microsoft Access
19-1023,Electronic mail software,Microsoft Outlook
19-1023,Geographic information system,Geographic information system GIS systems
19-1023,Object or component oriented development software,R
19-1023,Office suite software,Microsoft Office software
19-1023,Presentation software,Microsoft PowerPoint
19-1023,Project management software,Microsoft Project
19-1023,Spreadsheet software,Microsoft Excel
19-1023,Web platform development software,Microsoft Active Server Pages ASP
19-1023,Word processing software,Microsoft Word
19-1029,Analytical or scientific software,The MathWorks MATLAB
19-1029,Application server software,GitHub
19-1029,Business intelligence and data analysis software,Tableau
19-1029,Cloud-based data access and sharing software,Microsoft SharePoint
19-1029,Customer relationship management CRM software,Salesforce software
19-1029,Data base management system software,Oracle PL/SQL
19-1029,Data base user interface and query software,Structured query language SQL
19-1029,Development environment software,Ruby
19-1029,Enterprise application integration software,Extensible markup language XML
19-1029,Enterprise resource planning ERP software,SAP software
19-1029,File versioning software,Git
19-1029,Geographic information system,ESRI ArcGIS software
19-1029,Graphics or photo imaging software,Adobe Photoshop
19-1029,Object or component oriented development software,jQuery
19-1029,Object oriented data base management software,PostgreSQL
19-1029,Office suite software,Microsoft Office software
19-1029,Operating system software,UNIX
19-1029,Presentation software,Microsoft PowerPoint
19-1029,Spreadsheet software,Microsoft Excel
19-1029,Web platform development software,PHP
19-1029,Word processing software,Microsoft Word
19-1031,Analytical or scientific software,The MathWorks MATLAB
19-1031,Computer aided design CAD software,Autodesk AutoCAD
19-1031,Data base user interface and query software,Microsoft Access
19-1031,Document management software,Adobe Acrobat
19-1031,Electronic mail software,Microsoft Outlook
19-1031,Geographic information system,Geographic information system GIS systems
19-1031,Graphics or photo imaging software,Adobe Photoshop
19-1031,Object or component oriented development software,R
19-1031,Office suite software,Microsoft Office software
19-1031,Operating system software,UNIX
19-1031,Presentation software,Microsoft PowerPoint
19-1031,Spreadsheet software,Microsoft Excel
19-1031,Web page creation and editing software,Facebook
19-1031,Web platform development software,Microsoft Active Server Pages ASP
19-1031,Word processing software,Microsoft Word
19-1032,Data base user interface and query software,Microsoft Access
19-1032,Electronic mail software,Microsoft Outlook
19-1032,Geographic information system,Geographic information system GIS systems
19-1032,Office suite software,Microsoft Office software
19-1032,Presentation software,Microsoft PowerPoint
19-1032,Spreadsheet software,Microsoft Excel
19-1032,Web platform development software,Microsoft Active Server Pages ASP
19-1032,Word processing software,Microsoft Word
19-1041,Analytical or scientific software,Statistical software
19-1041,Business intelligence and data analysis software,Tableau
19-1041,Data base user interface and query software,Structured query language SQL
19-1041,Electronic mail software,Microsoft Outlook
19-1041,Map creation software,ESRI ArcGIS software
19-1041,Object or component oriented development software,R
19-1041,Office suite software,Microsoft Office software
19-1041,Presentation software,Microsoft PowerPoint
19-1041,Spreadsheet software,Microsoft Excel
19-1041,Web page creation and editing software,Facebook
19-1041,Word processing software,Microsoft Word
19-1042,Analytical or scientific software,The MathWorks MATLAB
19-1042,Development environment software,Microsoft Visual Basic
19-1042,Enterprise resource planning ERP software,Microsoft Dynamics
19-1042,Geographic information system,ESRI ArcGIS software
19-1042,Graphics or photo imaging software,Adobe Photoshop
19-1042,Object or component oriented development software,R
19-1042,Office suite software,Microsoft Office software
19-1042,Operating system software,UNIX
19-1042,Presentation software,Microsoft PowerPoint
19-1042,Project management software,Microsoft Project
19-1042,Spreadsheet software,Microsoft Excel
19-1042,Word processing software,Microsoft Word
19-2011,Analytical or scientific software,The MathWorks MATLAB
19-2011,Data base management system software,Apache Hadoop
19-2011,Data base user interface and query software,Structured query language SQL
19-2011,Object or component oriented development software,R
19-2011,Office suite software,Microsoft Office software
19-2011,Operating system software,Linux
19-2011,Presentation software,Microsoft PowerPoint
19-2011,Spreadsheet software,Microsoft Excel
19-2011,Word processing software,Microsoft Word
19-2012,Analytical or scientific software,The MathWorks MATLAB
19-2012,Computer aided design CAD software,Autodesk AutoCAD
19-2012,Configuration management software,Puppet
19-2012,Data base user interface and query software,Structured query language SQL
19-2012,Development environment software,Microsoft Visual Studio
19-2012,Enterprise application integration software,Extensible markup language XML
19-2012,Enterprise resource planning ERP software,Enterprise resource planning ERP system
19-2012,Expert system software,Ansible software
19-2012,File versioning software,Git
19-2012,Graphics or photo imaging software,Adobe Photoshop
19-2012,Object or component oriented development software,Python
19-2012,Office suite software,Microsoft Office software
19-2012,Operating system software,UNIX
19-2012,Presentation software,Microsoft PowerPoint
19-2012,Spreadsheet software,Microsoft Excel
19-2012,Web platform development software,JavaScript
19-2012,Word processing software,Microsoft Word
19-2021,Analytical or scientific software,The MathWorks MATLAB
19-2021,Data base user interface and query software,Structured query language SQL
19-2021,Electronic mail software,Microsoft Outlook
19-2021,Graphics or photo imaging software,Adobe Photoshop
19-2021,Object or component oriented development software,R
19-2021,Office suite software,Microsoft Office software
19-2021,Operating system software,UNIX
19-2021,Presentation software,Microsoft PowerPoint
19-2021,Spreadsheet software,Microsoft Excel
19-2021,Web page creation and editing software,Facebook
19-2021,Word processing software,Microsoft Word
19-2031,Data base user interface and query software,Structured query language SQL
19-2031,Development environment software,Microsoft Visual Basic
19-2031,Enterprise application integration software,Extensible markup language XML
19-2031,Enterprise resource planning ERP software,SAP software
19-2031,Object or component oriented development software,Oracle Java
19-2031,Office suite software,Microsoft Office software
19-2031,Presentation software,Microsoft PowerPoint
19-2031,Process mapping and design software,Microsoft Visio
19-2031,Spreadsheet software,Microsoft Excel
19-2031,Web platform development software,Hypertext markup language HTML
19-2031,Word processing software,Microsoft Word
19-2032,Analytical or scientific software,The MathWorks MATLAB
19-2032,Object or component oriented development software,R
19-2032,Office suite software,Microsoft Office software
19-2032,Presentation software,Microsoft PowerPoint
19-2032,Spreadsheet software,Microsoft Excel
19-2032,Web platform development software,Hypertext markup language HTML
19-2032,Word processing software,Microsoft Word
19-2041,Analytical or scientific software,The MathWorks MATLAB
19-2041,Cloud-based data access and sharing software,Microsoft SharePoint
19-2041,Cloud-based management software,Splunk Enterprise
19-2041,Computer aided design CAD software,Bentley MicroStation
19-2041,Customer relationship management CRM software,Salesforce software
19-2041,Data base management system software,NoSQL
19-2041,Data base user interface and query software,Structured query language SQL
19-2041,Desktop publishing software,Adobe InDesign
19-2041,Development environment software,Microsoft Visual Studio
19-2041,Document management software,Adobe Acrobat
19-2041,Electronic mail software,Microsoft Outlook
19-2041,Enterprise resource planning ERP software,SAP software
19-2041,File versioning software,Git
19-2041,Geographic information system,Geographic information system GIS systems
19-2041,Graphics or photo imaging software,Adobe Photoshop
19-2041,Object or component oriented development software,R
19-2041,Office suite software,Microsoft Office software
19-2041,Operating system software,UNIX
19-2041,Presentation software,Microsoft PowerPoint
19-2041,Process mapping and design software,Microsoft Visio
